en	fr	de	tr	zh	it	fi
Radius	Rayon	Radius	Yarıçap	半径	Raggio	Säde
Waves	Ondes	Wellen	Dalga	波数	Onde	Aallot
Shots	Tirs	Schüsse	Atış	发射数	Colpi	Laukaukset
Heal	Soin	Heilung	İyileşme	治疗	Cura	Parannus
Slow	Ralenti	Verlangsamung	Yavaşlatma	减速	Rallentamento	Hidastus
Slow Duration	Durée du ralenti	Verlangsamungsdauer	Yavaşlatma Süresi	减速时长	Durata rallentamento	Hidastuksen kesto
Fire Rate	Cadence	Feuerrate	Atış Hızı	射速	Cadenza	Tulinopeus
Chains	Chaînes	Ketten	Zincir	连锁	Catene	Ketjut
Range	Portée	Reichweite	Menzil	范围	Portata	Kantama
+{0} Max Health	+{0} Santé max	+{0} Max. Leben	+{0} Maks. Can	+{0} 生命上限	+{0} Salute max	+{0} Maks. terveys
+{0} Speed	+{0} Vitesse	+{0} Tempo	+{0} Hız	+{0} 速度	+{0} Velocità	+{0} Nopeus
+{0}% Damage	+{0}% Dégâts	+{0}% Schaden	+%{0} Hasar	+{0}% 伤害	+{0}% Danno	+{0}% Vahinko
+{0}% Fire Rate	+{0}% Cadence	+{0}% Feuerrate	+%{0} Atış Hızı	+{0}% 射速	+{0}% Cadenza	+{0}% Tulinopeus
+{0} Health	+{0} Santé	+{0} Leben	+{0} Can	+{0} 生命	+{0} Salute	+{0} Terveys
+{0} Pickup Range	+{0} Portée de ramassage	+{0} Sammelradius	+{0} Toplama Menzili	+{0} 拾取范围	+{0} Raggio raccolta	+{0} Keräyssäde
+{0}% Crit Chance	+{0}% Chance de critique	+{0}% Krit-Chance	+%{0} Kritik Şansı	+{0}% 暴击率	+{0}% Prob. critico	+{0}% Kriittinen mahd.
# --- Skill açıklamaları ---
Blink across short distances at light speed.	Téléporte-toi sur de courtes distances à la vitesse de la lumière.	Teleportiere dich blitzschnell über kurze Distanzen.	Kısa mesafeleri ışık hızında geç.	以光速瞬移一小段距离。	Teletrasportati per brevi distanze alla velocità della luce.	Siirry lyhyitä matkoja valonnopeudella.
Unleash a fiery explosion that burns everything around you.	Déclenche une explosion ardente qui brûle tout autour de toi.	Entfessle eine feurige Explosion, die alles um dich herum verbrennt.	Etrafındaki her şeyi yakan alevli bir patlama başlat.	释放炽热爆炸，焚烧你周围的一切。	Scatena un'esplosione infuocata che brucia tutto intorno a te.	Laukaise tulinen räjähdys, joka polttaa kaiken ympäriltäsi.
An energy barrier blocks all damage for a short time.	Une barrière d'énergie bloque tous les dégâts pendant un court instant.	Eine Energiebarriere blockt kurzzeitig jeden Schaden.	Bir enerji bariyeri kısa süre tüm hasarı engeller.	能量屏障在短时间内抵挡所有伤害。	Una barriera di energia blocca tutti i danni per breve tempo.	Energiamuuri torjuu kaiken vahingon hetken ajan.
Send out shockwaves that hit every enemy they touch.	Envoie des ondes de choc qui frappent chaque ennemi touché.	Sende Schockwellen aus, die jeden berührten Gegner treffen.	Dokunduğu her düşmanı vuran şok dalgaları gönder.	发出冲击波，击中所有触及的敌人。	Emetti onde d'urto che colpiscono ogni nemico che toccano.	Lähetä shokkiaaltoja, jotka osuvat jokaiseen koskettamaansa viholliseen.
Hurl fireballs in every direction around you.	Lance des boules de feu dans toutes les directions.	Schleudere Feuerbälle in alle Richtungen.	Etrafına her yöne ateş topları fırlat.	向四面八方投掷火球。	Scaglia palle di fuoco in ogni direzione intorno a te.	Heitä tulipalloja joka suuntaan ympärillesi.
Instantly restore health.	Restaure instantanément de la santé.	Stelle sofort Leben wieder her.	Anında can yenile.	立即恢复生命。	Ripristina subito la salute.	Palauta terveyttä välittömästi.
Blast of ice that damages and slows nearby enemies.	Une rafale de glace qui blesse et ralentit les ennemis proches.	Ein Eisstoß, der nahe Gegner verletzt und verlangsamt.	Yakındaki düşmanlara hasar veren ve onları yavaşlatan buz patlaması.	冰霜爆发，伤害并减速附近的敌人。	Un'esplosione di ghiaccio che danneggia e rallenta i nemici vicini.	Jääpurkaus, joka vahingoittaa ja hidastaa lähellä olevia vihollisia.
Temporarily boosts weapon damage and fire rate.	Augmente temporairement les dégâts et la cadence des armes.	Erhöht kurzzeitig Waffenschaden und Feuerrate.	Silah hasarını ve atış hızını geçici olarak artırır.	暂时提升武器伤害和射速。	Aumenta temporaneamente danno e cadenza delle armi.	Lisää hetkellisesti aseiden vahinkoa ja tulinopeutta.
Lightning strikes the nearest enemy and jumps between foes.	La foudre frappe l'ennemi le plus proche et rebondit entre les adversaires.	Ein Blitz trifft den nächsten Gegner und springt zwischen Feinden über.	Yıldırım en yakın düşmana çarpar ve düşmanlar arasında sıçrar.	闪电击中最近的敌人并在敌人间跳跃。	Un fulmine colpisce il nemico più vicino e salta tra i nemici.	Salama iskee lähimpään viholliseen ja hyppii vihollisesta toiseen.
# --- Stat upgrade açıklamaları ---
Raise your maximum health.	Augmente ta santé maximale.	Erhöhe dein maximales Leben.	Maksimum canını artır.	提升你的生命上限。	Aumenta la tua salute massima.	Nosta maksimiterveyttäsi.
Move faster across the arena.	Déplace-toi plus vite dans l'arène.	Bewege dich schneller durch die Arena.	Arenada daha hızlı hareket et.	在竞技场中移动得更快。	Muoviti più velocemente nell'arena.	Liiku nopeammin areenalla.
All weapons deal more damage.	Toutes les armes infligent plus de dégâts.	Alle Waffen verursachen mehr Schaden.	Tüm silahlar daha fazla hasar verir.	所有武器造成更多伤害。	Tutte le armi infliggono più danni.	Kaikki aseet tekevät enemmän vahinkoa.
All weapons attack faster.	Toutes les armes attaquent plus vite.	Alle Waffen greifen schneller an.	Tüm silahlar daha hızlı saldırır.	所有武器攻击更快。	Tutte le armi attaccano più velocemente.	Kaikki aseet hyökkäävät nopeammin.
Pulls loot from farther away.	Attire le butin de plus loin.	Zieht Beute aus größerer Entfernung an.	Ganimeti daha uzaktan çeker.	从更远处吸取战利品。	Attira il bottino da più lontano.	Vetää saalista kauempaa.
More critical hits.	Plus de coups critiques.	Mehr kritische Treffer.	Daha fazla kritik vuruş.	更多暴击。	Più colpi critici.	Enemmän kriittisiä osumia.
Adds 1 more sword to an empty slot.	Ajoute une épée de plus dans un emplacement vide.	Fügt einem leeren Platz ein weiteres Schwert hinzu.	Boş bir yuvaya 1 kılıç daha ekler.	在空栏位中再添加 1 把剑。	Aggiunge 1 spada in uno slot vuoto.	Lisää yhden miekan tyhjään paikkaan.
# --- Silah açıklamaları ---
Shoots enemies from a distance.	Tire sur les ennemis à distance.	Beschießt Gegner aus der Ferne.	Düşmanları uzaktan vurur.	远距离射击敌人。	Spara ai nemici da lontano.	Ampuu vihollisia kaukaa.
Blasts a wide cone of pellets up close.	Projette un large cône de plombs à bout portant.	Feuert aus nächster Nähe einen breiten Schrotkegel.	Yakın mesafeye geniş bir saçma konisi atar.	近距离喷射大范围扇形弹丸。	Spara un ampio cono di pallini a distanza ravvicinata.	Ampuu leveän haulikartion lähietäisyydeltä.
Sprays a fast stream of light bullets.	Crache un flot rapide de balles légères.	Versprüht einen schnellen Strom leichter Kugeln.	Hızlı bir hafif mermi akışı püskürtür.	快速喷射轻型子弹。	Spruzza un rapido flusso di proiettili leggeri.	Suihkuttaa nopean virran kevyitä luoteja.
Steady, accurate automatic fire.	Tir automatique stable et précis.	Gleichmäßiges, präzises Dauerfeuer.	İstikrarlı, isabetli otomatik atış.	稳定精准的自动射击。	Fuoco automatico stabile e preciso.	Tasaista, tarkkaa automaattitulta.
Long-range shots that pierce through enemies.	Tirs à longue portée qui transpercent les ennemis.	Weitreichende Schüsse, die Gegner durchbohren.	Düşmanları delip geçen uzun menzilli atışlar.	远程射击，可穿透敌人。	Colpi a lunga gittata che trapassano i nemici.	Pitkän kantaman laukauksia, jotka lävistävät viholliset.
Slow, heavy shots with a high crit chance.	Tirs lents et lourds avec une forte chance de critique.	Langsame, schwere Schüsse mit hoher Krit-Chance.	Yüksek kritik şanslı, yavaş ve ağır atışlar.	缓慢而沉重的射击，暴击率高。	Colpi lenti e pesanti con alta probabilità di critico.	Hitaita, raskaita laukauksia suurella kriittisellä mahdollisuudella.
Shreds everything in front of it.	Déchiquette tout ce qui se trouve devant.	Zerfetzt alles, was vor ihr ist.	Önündeki her şeyi parçalar.	撕碎前方的一切。	Fa a pezzi tutto ciò che ha davanti.	Repii kaiken edessään.
Wide, heavy swings that hit everything nearby.	Des coups larges et lourds qui frappent tout alentour.	Weite, schwere Schwünge, die alles in der Nähe treffen.	Yakındaki her şeye çarpan geniş, ağır savuruşlar.	大范围重击，命中附近一切。	Fendenti ampi e pesanti che colpiscono tutto nei dintorni.	Leveitä, raskaita lyöntejä, jotka osuvat kaikkeen lähellä.
Lightning-fast cuts in a narrow arc.	Des entailles fulgurantes dans un arc étroit.	Blitzschnelle Schnitte in einem engen Bogen.	Dar bir yayda şimşek hızında kesikler.	在狭窄弧线内闪电般斩击。	Tagli fulminei in un arco stretto.	Salamannopeita viiltoja kapeassa kaaressa.
An energy blade that cleaves wide.	Une lame d'énergie qui tranche large.	Eine Energieklinge mit weitem Hieb.	Geniş bir alanı biçen enerji kılıcı.	能量之刃，大范围劈砍。	Una lama di energia che fende ad ampio raggio.	Energiaterä, joka viiltää laajalti.
A heavier blade for tougher waves.	Une lame plus lourde pour les vagues plus dures.	Eine schwerere Klinge für härtere Wellen.	Zorlu dalgalar için daha ağır bir kılıç.	更沉重的刀刃，应对更艰难的敌潮。	Una lama più pesante per ondate più dure.	Raskaampi terä kovempiin aaltoihin.
# --- Sinerji açıklamaları ---
Area Blast deals +75% damage to slowed enemies.	Area Blast inflige +75 % de dégâts aux ennemis ralentis.	Area Blast verursacht +75 % Schaden an verlangsamten Gegnern.	Area Blast yavaşlamış düşmanlara +%75 hasar verir.	Area Blast 对减速的敌人造成 +75% 伤害。	Area Blast infligge +75% di danno ai nemici rallentati.	Area Blast tekee +75 % vahinkoa hidastettuihin vihollisiin.
Chain Lightning deals double damage to slowed enemies.	Chain Lightning inflige le double de dégâts aux ennemis ralentis.	Chain Lightning verursacht doppelten Schaden an verlangsamten Gegnern.	Chain Lightning yavaşlamış düşmanlara iki kat hasar verir.	Chain Lightning 对减速的敌人造成双倍伤害。	Chain Lightning infligge danno doppio ai nemici rallentati.	Chain Lightning tekee tuplavahinkoa hidastettuihin vihollisiin.
Dash cooldown is halved during Overdrive.	La recharge de Dash est divisée par deux pendant Overdrive.	Die Abklingzeit von Dash ist während Overdrive halbiert.	Overdrive sırasında Dash bekleme süresi yarıya iner.	Overdrive 期间 Dash 冷却时间减半。	Durante Overdrive la ricarica di Dash è dimezzata.	Dashin latausaika puolittuu Overdriven aikana.
Dashing releases a burst of fireballs where you land.	Un Dash libère une salve de boules de feu à l'arrivée.	Ein Dash setzt am Landepunkt eine Feuerballsalve frei.	Dash attığında indiğin yerde ateş topları patlar.	冲刺落点会释放一圈火球。	Lo scatto rilascia una raffica di palle di fuoco dove atterri.	Syöksy vapauttaa tulipallopurkauksen laskeutumispaikassa.
During Overdrive, Chain Lightning jumps to 2 more enemies.	Pendant Overdrive, Chain Lightning touche 2 ennemis de plus.	Während Overdrive springt Chain Lightning auf 2 weitere Gegner über.	Overdrive sırasında Chain Lightning 2 düşmana daha sıçrar.	Overdrive 期间，Chain Lightning 额外跳跃 2 名敌人。	Durante Overdrive, Chain Lightning salta su altri 2 nemici.	Overdriven aikana Chain Lightning hyppää 2 viholliseen lisää.
Pulse Wave rings slow the enemies they hit.	Les anneaux de Pulse Wave ralentissent les ennemis touchés.	Die Ringe von Pulse Wave verlangsamen getroffene Gegner.	Pulse Wave halkaları çarptığı düşmanları yavaşlatır.	Pulse Wave 的光环会减速被击中的敌人。	Gli anelli di Pulse Wave rallentano i nemici colpiti.	Pulse Waven renkaat hidastavat vihollisia, joihin ne osuvat.
Second Wind also shields you for 1.5s.	Second Wind te protège aussi pendant 1,5 s.	Second Wind schützt dich zusätzlich 1,5 s lang.	Second Wind seni ayrıca 1,5sn korur.	Second Wind 还会为你提供 1.5 秒护盾。	Second Wind ti protegge anche per 1,5s.	Second Wind suojaa sinua myös 1,5 s ajan.
When Shield ends, it releases a pulse wave.	Quand Shield se termine, il libère une onde de choc.	Wenn Shield endet, setzt es eine Druckwelle frei.	Shield bittiğinde bir şok dalgası yayar.	Shield 结束时会释放一道脉冲波。	Quando Shield termina, rilascia un'onda d'urto.	Kun Shield päättyy, se vapauttaa sykeaallon.
# --- Oyun sonu ---
GAME OVER	PARTIE TERMINÉE	GAME OVER	OYUN BİTTİ	游戏结束	GAME OVER	PELI OHI
WAVE REACHED	VAGUE ATTEINTE	ERREICHTE WELLE	ULAŞILAN DALGA	到达波次	ONDATA RAGGIUNTA	SAAVUTETTU AALTO
TIME SURVIVED	TEMPS DE SURVIE	ÜBERLEBENSZEIT	HAYATTA KALMA SÜRESİ	存活时间	TEMPO SOPRAVVISSUTO	SELVIYTYMISAIKA
ENEMIES KILLED	ENNEMIS ÉLIMINÉS	BESIEGTE GEGNER	ÖLDÜRÜLEN DÜŞMAN	击杀敌人	NEMICI UCCISI	TAPETUT VIHOLLISET
DAMAGE DEALT	DÉGÂTS INFLIGÉS	VERURSACHTER SCHADEN	VERİLEN HASAR	造成伤害	DANNO INFLITTO	TEHTY VAHINKO
COINS COLLECTED	PIÈCES RAMASSÉES	GESAMMELTE MÜNZEN	TOPLANAN ALTIN	收集金币	MONETE RACCOLTE	KERÄTYT KOLIKOT
LEVEL	NIVEAU	LEVEL	SEVİYE	等级	LIVELLO	TASO
NEW RECORD!	NOUVEAU RECORD !	NEUER REKORD!	YENİ REKOR!	新纪录！	NUOVO RECORD!	UUSI ENNÄTYS!
NEW!	NOUVEAU !	NEU!	YENİ!	新！	NUOVO!	UUSI!
CORE EARNED	CORE GAGNÉ	CORE VERDIENT	KAZANILAN CORE	获得 CORE	CORE GUADAGNATO	ANSAITTU CORE
RUN #{0}	PARTIE N°{0}	RUN #{0}	OYUN #{0}	第 {0} 局	PARTITA #{0}	PELI #{0}
WAVES	VAGUES	WELLEN	DALGA	波次	ONDATE	AALLOT
KILLS	ÉLIM.	KILLS	ÖLDÜRME	击杀	UCCISIONI	TAPOT
BOSS	BOSS	BOSS	BOSS	首领	BOSS	POMO
TOTAL {0}	TOTAL {0}	GESAMT {0}	TOPLAM {0}	总计 {0}	TOTALE {0}	YHTEENSÄ {0}
BEST {0}	MEILLEUR {0}	BESTWERT {0}	EN İYİ {0}	最佳 {0}	MIGLIORE {0}	PARAS {0}
NEW UNLOCK:	NOUVEAU DÉBLOCAGE :	NEU FREIGESCHALTET:	YENİ KİLİT AÇILDI:	新解锁：	NUOVO SBLOCCO:	UUSI AVAUS:
NEW UNLOCKS:	NOUVEAUX DÉBLOCAGES :	NEU FREIGESCHALTET:	YENİ KİLİTLER AÇILDI:	新解锁：	NUOVI SBLOCCHI:	UUDET AVAUKSET:
# --- Tutorial ipuçları ---
<b>{0}</b> to move. Your weapons attack <color=#73EFF7>automatically</color>.	<b>{0}</b> pour te déplacer. Tes armes attaquent <color=#73EFF7>automatiquement</color>.	<b>{0}</b> zum Bewegen. Deine Waffen greifen <color=#73EFF7>automatisch</color> an.	Hareket için <b>{0}</b>. Silahların <color=#73EFF7>otomatik</color> saldırır.	<b>{0}</b> 移动。武器会<color=#73EFF7>自动</color>攻击。	<b>{0}</b> per muoverti. Le tue armi attaccano <color=#73EFF7>automaticamente</color>.	<b>{0}</b> liikkuu. Aseesi hyökkäävät <color=#73EFF7>automaattisesti</color>.
Collect the <color=#E54658>red orbs</color> for EXP. Level up to pick upgrades.	Ramasse les <color=#E54658>orbes rouges</color> pour gagner de l'EXP. Monte de niveau pour choisir des améliorations.	Sammle die <color=#E54658>roten Kugeln</color> für EP. Steige auf, um Upgrades zu wählen.	EXP için <color=#E54658>kırmızı küreleri</color> topla. Seviye atlayınca geliştirme seç.	收集<color=#E54658>红色光球</color>获取经验。升级后可选择强化。	Raccogli le <color=#E54658>sfere rosse</color> per l'EXP. Sali di livello per scegliere i potenziamenti.	Kerää <color=#E54658>punaisia palloja</color> saadaksesi EXP:tä. Nouse tasolla valitaksesi päivityksiä.
Pick <b>one</b> upgrade. Weapon cards cost <color=#FFCD75>coins</color> - press <b>{0}</b> to reroll the cards.	Choisis <b>une</b> amélioration. Les cartes d'arme coûtent des <color=#FFCD75>pièces</color> - appuie sur <b>{0}</b> pour relancer les cartes.	Wähle <b>ein</b> Upgrade. Waffenkarten kosten <color=#FFCD75>Münzen</color> - drücke <b>{0}</b>, um neu zu würfeln.	<b>Bir</b> geliştirme seç. Silah kartları <color=#FFCD75>altın</color> ister - kartları yenilemek için <b>{0}</b>'a bas.	选择<b>一项</b>强化。武器卡需要<color=#FFCD75>金币</color> - 按 <b>{0}</b> 刷新卡牌。	Scegli <b>un</b> potenziamento. Le carte arma costano <color=#FFCD75>monete</color> - premi <b>{0}</b> per rilanciare le carte.	Valitse <b>yksi</b> päivitys. Asekortit maksavat <color=#FFCD75>kolikoita</color> - paina <b>{0}</b> arpoaksesi kortit uudelleen.
Press <b>{0}</b> to use <color=#73EFF7>{1}</color>. Skills recharge over time.	Appuie sur <b>{0}</b> pour utiliser <color=#73EFF7>{1}</color>. Les compétences se rechargent avec le temps.	Drücke <b>{0}</b>, um <color=#73EFF7>{1}</color> zu nutzen. Skills laden sich mit der Zeit auf.	<color=#73EFF7>{1}</color> kullanmak için <b>{0}</b>'a bas. Yetenekler zamanla dolar.	按 <b>{0}</b> 使用 <color=#73EFF7>{1}</color>。技能会随时间充能。	Premi <b>{0}</b> per usare <color=#73EFF7>{1}</color>. Le abilità si ricaricano col tempo.	Paina <b>{0}</b> käyttääksesi taitoa <color=#73EFF7>{1}</color>. Taidot latautuvat ajan myötä.
<color=#FFCD75>Coins</color> buy weapons on level-up cards. Save them up!	Les <color=#FFCD75>pièces</color> achètent des armes sur les cartes de niveau. Économise-les !	Mit <color=#FFCD75>Münzen</color> kaufst du Waffen auf Level-up-Karten. Spar sie dir auf!	<color=#FFCD75>Altınlar</color> seviye kartlarında silah alır. Biriktir!	<color=#FFCD75>金币</color>可在升级卡中购买武器。存起来吧！	Le <color=#FFCD75>monete</color> comprano armi sulle carte di livello. Mettile da parte!	<color=#FFCD75>Kolikoilla</color> ostetaan aseita tasokorteista. Säästä niitä!
Buy the <b>same weapon</b> again to <color=#C78BFF>MERGE</color> it into a stronger tier!	Achète la <b>même arme</b> pour la <color=#C78BFF>FUSIONNER</color> en un rang supérieur !	Kaufe die <b>gleiche Waffe</b> erneut, um sie zu einer stärkeren Stufe zu <color=#C78BFF>VERSCHMELZEN</color>!	<b>Aynı silahı</b> tekrar alarak daha güçlü bir seviyeye <color=#C78BFF>BİRLEŞTİR</color>!	再次购买<b>同一把武器</b>，即可<color=#C78BFF>合成</color>更高阶！	Compra di nuovo la <b>stessa arma</b> per <color=#C78BFF>FONDERLA</color> in un livello superiore!	Osta <b>sama ase</b> uudelleen <color=#C78BFF>YHDISTÄÄKSESI</color> sen vahvemmaksi tasoksi!
<color=#E5533C>Boss!</color> It hits hard - keep moving and use your skills.	<color=#E5533C>Boss !</color> Il frappe fort - reste en mouvement et utilise tes compétences.	<color=#E5533C>Boss!</color> Er schlägt hart zu - bleib in Bewegung und nutze deine Skills.	<color=#E5533C>Boss!</color> Sert vurur - hareket etmeye devam et ve yeteneklerini kullan.	<color=#E5533C>首领！</color>它攻击很猛 - 保持移动并使用技能。	<color=#E5533C>Boss!</color> Colpisce forte - continua a muoverti e usa le abilità.	<color=#E5533C>Pomo!</color> Se iskee kovaa - pysy liikkeessä ja käytä taitojasi.
<b>{0}</b> pauses. <color=#73EFF7>SAVE & QUIT</color> lets you continue this run later.	<b>{0}</b> met en pause. <color=#73EFF7>SAUVER & QUITTER</color> te permet de reprendre plus tard.	<b>{0}</b> pausiert. Mit <color=#73EFF7>SPEICHERN & ENDE</color> kannst du den Run später fortsetzen.	<b>{0}</b> oyunu duraklatır. <color=#73EFF7>KAYDET & ÇIK</color> ile bu oyuna sonra devam edebilirsin.	<b>{0}</b> 暂停。<color=#73EFF7>保存并退出</color>可稍后继续本局。	<b>{0}</b> mette in pausa. <color=#73EFF7>SALVA & ESCI</color> ti permette di continuare più tardi.	<b>{0}</b> keskeyttää. <color=#73EFF7>TALLENNA & LOPETA</color> antaa jatkaa peliä myöhemmin.
You earned <color=#73EFF7>CORE</color>! Spend it in <color=#73EFF7>UPGRADES</color> for permanent bonuses.	Tu as gagné du <color=#73EFF7>CORE</color> ! Dépense-le dans <color=#73EFF7>AMÉLIORATIONS</color> pour des bonus permanents.	Du hast <color=#73EFF7>CORE</color> verdient! Gib es unter <color=#73EFF7>UPGRADES</color> für dauerhafte Boni aus.	<color=#73EFF7>CORE</color> kazandın! Kalıcı bonuslar için <color=#73EFF7>GELİŞTİRMELER</color>'de harca.	你获得了 <color=#73EFF7>CORE</color>！在<color=#73EFF7>强化</color>中使用它获得永久加成。	Hai guadagnato <color=#73EFF7>CORE</color>! Spendilo in <color=#73EFF7>POTENZIAMENTI</color> per bonus permanenti.	Ansaitsit <color=#73EFF7>COREA</color>! Käytä sitä kohdassa <color=#73EFF7>PÄIVITYKSET</color> pysyviin bonuksiin.
Left stick	Stick gauche	Linker Stick	Sol analog	左摇杆	Levetta sinistra	Vasen sauva
# --- Zemin ızgarası (FloorGrid) ---
Kills <color=#73EFF7>charge</color> the floor. Fill a 2x2 block to <color=#73EFF7>OVERLOAD</color> it for a bonus!	Les éliminations <color=#73EFF7>chargent</color> le sol. Remplis un bloc 2x2 pour le <color=#73EFF7>SURCHARGER</color> et obtenir un bonus !	Kills <color=#73EFF7>laden</color> den Boden auf. Fülle einen 2x2-Block, um ihn für einen Bonus zu <color=#73EFF7>ÜBERLADEN</color>!	Öldürmeler zemini <color=#73EFF7>şarj eder</color>. Bonus için 2x2'lik bir alanı doldurup <color=#73EFF7>AŞIRI YÜKLE</color>!	击杀会为地面<color=#73EFF7>充能</color>。填满一个 2x2 区域即可使其<color=#73EFF7>过载</color>并获得加成！	Le uccisioni <color=#73EFF7>caricano</color> il pavimento. Riempi un blocco 2x2 per <color=#73EFF7>SOVRACCARICARLO</color> e ottenere un bonus!	Tapot <color=#73EFF7>lataavat</color> lattiaa. Täytä 2x2-alue <color=#73EFF7>YLIKUORMITTAAKSESI</color> sen ja saadaksesi bonuksen!
ZAP GRID	GRILLE ÉLECTRIQUE	BLITZGITTER	ŞOK IZGARASI	电击网格	GRIGLIA ELETTRICA	SÄHKÖVERKKO
STASIS GRID	GRILLE DE STASE	STASEGITTER	YAVAŞLATMA IZGARASI	停滞网格	GRIGLIA DI STASI	PYSÄYTYSVERKKO
MAGNET GRID	GRILLE AIMANTÉE	MAGNETGITTER	MIKNATIS IZGARASI	磁力网格	GRIGLIA MAGNETICA	MAGNEETTIVERKKO
# --- Reaktör savunması (ReactorDefense) ---
REACTOR UNDER THREAT	RÉACTEUR MENACÉ	REAKTOR IN GEFAHR	REAKTÖR TEHLİKEDE	反应堆遭受威胁	REATTORE IN PERICOLO	REAKTORI UHATTUNA
DEFEND THE REACTOR	DÉFENDS LE RÉACTEUR	VERTEIDIGE DEN REAKTOR	REAKTÖRÜ SAVUN	保卫反应堆	DIFENDI IL REATTORE	PUOLUSTA REAKTORIA
ATTACK IN {0}s	ATTAQUE DANS {0}s	ANGRIFF IN {0}s	SALDIRIYA {0}sn	{0}秒后遭到攻击	ATTACCO TRA {0}s	HYÖKKÄYS {0}s PÄÄSTÄ
HOLD OUT {0}s	TIENS BON {0}s	HALTE DURCH {0}s	DAYAN {0}sn	坚守 {0}秒	RESISTI {0}s	KESTÄ {0}s
REACTOR SECURED!	RÉACTEUR SÉCURISÉ !	REAKTOR GESICHERT!	REAKTÖR GÜVENDE!	反应堆已守住！	REATTORE PROTETTO!	REAKTORI TURVASSA!
REACTOR LOST!	RÉACTEUR PERDU !	REAKTOR VERLOREN!	REAKTÖR YIKILDI!	反应堆被摧毁！	REATTORE PERSO!	REAKTORI MENETETTY!
-{0} COINS	-{0} PIÈCES	-{0} MÜNZEN	-{0} ALTIN	-{0} 金币	-{0} MONETE	-{0} KOLIKKOA
Enemies are raiding a <color=#73EFF7>REACTOR</color>! Defend it for a reward. If it falls, you lose <color=#FFCD75>coins</color>.	Des ennemis attaquent un <color=#73EFF7>RÉACTEUR</color> ! Défends-le pour une récompense. S'il tombe, tu perds des <color=#FFCD75>pièces</color>.	Gegner greifen einen <color=#73EFF7>REAKTOR</color> an! Verteidige ihn für eine Belohnung. Fällt er, verlierst du <color=#FFCD75>Münzen</color>.	Düşmanlar bir <color=#73EFF7>REAKTÖRE</color> saldırıyor! Ödül için onu savun. Yıkılırsa <color=#FFCD75>altın</color> kaybedersin.	敌人正在袭击<color=#73EFF7>反应堆</color>！守住它即可获得奖励。若被摧毁，你将失去<color=#FFCD75>金币</color>。	I nemici stanno assaltando un <color=#73EFF7>REATTORE</color>! Difendilo per una ricompensa. Se cade, perdi <color=#FFCD75>monete</color>.	Viholliset hyökkäävät <color=#73EFF7>REAKTORIIN</color>! Puolusta sitä palkkiota vastaan. Jos se tuhoutuu, menetät <color=#FFCD75>kolikoita</color>.
# --- Nasıl Oynanır (TutorialPanel) ---
HOW TO PLAY	COMMENT JOUER	SO WIRD GESPIELT	NASIL OYNANIR	玩法说明	COME SI GIOCA	PELIOHJEET
SKIP	PASSER	ÜBERSPRINGEN	ATLA	跳过	SALTA	OHITA
START!	C'EST PARTI !	LOS!	BAŞLA!	开始！	VIA!	ALOITA!
CLOSE	FERMER	SCHLIESSEN	KAPAT	关闭	CHIUDI	SULJE
MOVE & SHOOT	BOUGE & TIRE	BEWEGEN & SCHIESSEN	HAREKET & ATEŞ	移动与射击	MUOVITI & SPARA	LIIKU & AMMU
EXP & LEVEL UP	EXP & NIVEAUX	EXP & LEVEL-UP	EXP & SEVİYE ATLAMA	经验与升级	EXP & LIVELLI	EXP & TASONNOUSU
WEAPONS & MERGE	ARMES & FUSION	WAFFEN & VERSCHMELZEN	SİLAHLAR & BİRLEŞTİRME	武器与合成	ARMI & FUSIONE	ASEET & YHDISTÄMINEN
SKILLS	COMPÉTENCES	FÄHIGKEITEN	YETENEKLER	技能	ABILITÀ	TAIDOT
WAVES & BOSSES	VAGUES & BOSS	WELLEN & BOSSE	DALGALAR & BOSSLAR	敌潮与首领	ONDATE & BOSS	AALLOT & POMOT
FLOOR GRID	GRILLE AU SOL	BODENGITTER	ZEMİN IZGARASI	地面网格	GRIGLIA DEL PAVIMENTO	LATTIAVERKKO
REACTOR DEFENSE	DÉFENSE DU RÉACTEUR	REAKTORVERTEIDIGUNG	REAKTÖR SAVUNMASI	反应堆防御	DIFESA DEL REATTORE	REAKTORIN PUOLUSTUS
CORE & UPGRADES	CORE & AMÉLIORATIONS	CORE & UPGRADES	CORE & GELİŞTİRMELER	CORE 与强化	CORE & POTENZIAMENTI	CORE & PÄIVITYKSET
Move with <b>{0}</b>. Your weapons fire <color=#73EFF7>automatically</color> at nearby enemies - focus on dodging!	Déplace-toi avec <b>{0}</b>. Tes armes tirent <color=#73EFF7>automatiquement</color> sur les ennemis proches - concentre-toi sur l'esquive !	Bewege dich mit <b>{0}</b>. Deine Waffen feuern <color=#73EFF7>automatisch</color> auf nahe Gegner - konzentrier dich aufs Ausweichen!	<b>{0}</b> ile hareket et. Silahların yakındaki düşmanlara <color=#73EFF7>otomatik</color> ateş eder - sen kaçmaya odaklan!	使用 <b>{0}</b> 移动。你的武器会<color=#73EFF7>自动</color>攻击附近的敌人——专心躲避吧！	Muoviti con <b>{0}</b>. Le tue armi sparano <color=#73EFF7>automaticamente</color> ai nemici vicini - concentrati sulla schivata!	Liiku näppäimillä <b>{0}</b>. Aseesi ampuvat lähellä olevia vihollisia <color=#73EFF7>automaattisesti</color> - keskity väistelemään!
